Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
,Stuhlweissenburg,,"18,7833","47,1667",,,,7024662
,Fuele,,,,,,,
,Káloz,,,,,,,
,Keresztes,,,,,,,
,Kis-keszi,,,,,,,
,Ladány,,,,,,,
,Mór,,"18,2","47,3833",,,,1042395
,Polgárdi,,,,,,,
,Szent-mihály,,,,,,,
,Sopornya,,,,,,,
,Tácz,,,,,,,
,Komitat-stuhlweissenburg,,,,,,,
,Csor,,,,,,,
,Csurgo,,,,,,,
,Inota,,,,,,,
,Iszka,,,,,,,
,Szent-gyoergy,,,,,,,
,Moha,,,,,,,
,Czecze,,,,,,,
,Sarospatak,,,,,,,
,Komitat-borsod,,,,,,,
,Maklar,,,,,,,
,Poroszlo,,,,,,,
,Tiszanána,,,,,,,
,Heves,,"20,2833","47,6",,,,1042352
,Tenk,,,,,,,
,Szarasboe,,,,,,,
,Halász,,,,,,,
,Cserekoez,,,,,,,
,Komitat-heves,,,,,,,
,Kenezloe,,,,,,,
,Viss,,,,,,,
,Báj,,,,,,,
,Csobáj,,,,,,,
,Taktakencz,,,,,,,
,Tiszaladány,,,,,,,
,Prügy,,,,,,,
,Neu-szivacz,,,,,,,
,Babarcz,,,,,,,
,Béllye,,,,,,,
,Csuza,,,,,,,
,Darocz,,,,,,,
,Hercegszoelloes,,,,,,,
,Karancs,,,,,,,
,Keoe,,,,,,,
,Koelked,,,,,,,
,Kopács,,,,,,,
,Lasko,,,,,,,
,Mohács,,"18,6667",46,,,,7010493
,Voeroesmart,,,,,,,
,Komitat-baranya,,,,,,,
,Haraszti,,,,,,,
,Korogy,,,,,,,
,Rétfalu,,,,,,,
,Szent-lászlo,,,,,,,
,Debelliacsa,,,,,,,
,Ittebe,,,,,,,
,Klopodia,,,,,,,
,Liebling,,,,,,,
,Rittberg,,,,,,,
,Temesvár,,"21,25","45,75",,,,7003943
,Komitat-csongrad,,,,,,,
,Samson,,,,,,,7011371
,Komitat-tolna,,,,,,,
